Precio(€),Nombre,Procesador,Ranking Procesador,RAM (GB),Disco duro,Pantalla,Gráfica
599.0,Lenovo IdeaPad S145-15IIL,Intel Core i5-1035G1,396,8 GB,512GB SSD,"15.6""",
399.0,Asus F543BA-GQ739T,AMD A9-9425,1505,8 GB,256GB SSD,"15.6""",
259.0,Toshiba Satellite Pro R40-D-111,Intel Celeron 3865U,1608,4 GB,128GB SSD,"14""",
599.0,HP Notebook 15S-FQ1042NS,Intel Core i7-1065G7,312,8 GB,512GB SSD,"15.6""",
559.0,Acer Aspire 5 A515-43-R4HV,AMD Ryzen 5 3500U,454,8 GB,512GB SSD,"15.6""",
335.0,Lenovo IdeaPad S340-15API,AMD Ryzen 3 3200U,857,4 GB,128GB SSD,"15.6""",
999.0,MSI GF75 Thin 9SC-277XES,Intel Core i7-9750H,229,16 GB,512GB SSD,"17.3""",GTX1650
379.0,Lenovo IdeaPad S145-15IWL,Intel Core i3-8145U,912,8 GB,256GB SSD,"15.6""",
319.0,Lenovo V145-15AST,AMD A4-9125,"[[1634, 'AMD A4-9120'], [1447, 'AMD A4-1250']]",8 GB,256GB SSD,"15.6""",
699.0,Lenovo IdeaPad S145-15IIL,Intel Core i7-1065G7,312,8 GB,512GB SSD,"15.6""",
269.0,HP Notebook 255 G7,AMD A4-9125,"[[1634, 'AMD A4-9120'], [1447, 'AMD A4-1250']]",4 GB,1TB,"15.6""",
499.0,HP Notebook 14S-DQ1005NS,Intel Core i5-1035G1,396,8 GB,512GB SSD,"14""",
459.0,Lenovo IdeaPad S145-15IKB,Intel Core i3-7020U,1167,8 GB,512GB SSD,"15.6""",
349.0,Lenovo Ideapad 330-15AST,AMD A6-9225,1557,4 GB,128GB SSD,"15.6""",
209.99,Asus R540MA-GQ757,Intel Celeron N4000,1531,4 GB,256GB SSD,"15.6""",
379.0,HP 15-DW0039NS,Intel Core i3-8130U,904,4 GB,256GB SSD,"15.6""",
229.0,Lenovo Ideapad 330-15AST,AMD A6-9225,1557,4 GB,128GB SSD,"15.6""",
319.0,Lenovo V130-15IGM,Intel Celeron N4000,1531,8 GB,256GB SSD,"15.6""",
958.99,Lenovo Ideapad 330-15ICH,Intel Core i7-8750H,274,8 GB,1TB,"15.6""",GTX 1050
889.0,Apple MacBook Air,Intel Core i5,"[[950, 'Intel Core i7-975'], [997, 'Intel Core i7-965']]",8 GB,128GB SSD,"13"" Plateado",
289.0,Lenovo Ideapad 330S-15AST,AMD A9-9425,1505,4 GB,128GB SSD,"15.6""",
434.0,Lenovo V130-15IKB,Intel Core i3-7020U,1167,8 GB,256GB SSD,"15.6""",
1099.99,MSI GF65 Thin 9SEXR-236XES,Intel Core i7-9750H,229,16 GB,512GB SSD,"15.6""",RTX 2060
289.0,Lenovo Ideapad 330-15IKB,Intel Core i3-7020U,1167,4 GB,128GB SSD,"15.6""",
305.51,Lenovo V145-15AST,AMD A4-9125,"[[1634, 'AMD A4-9120'], [1447, 'AMD A4-1250']]",4 GB,256GB SSD,"15.6""",
699.0,HP Pavilion 15-CS3003NS,Intel Core i5-1035G1,396,8 GB,512GB SSD,"15.6""",GTX 1050
459.0,Lenovo V155-15API,AMD Ryzen 3 3200U,857,8 GB,256GB SSD,"15.6""",
1199.0,MSI GL65 9SEK-210XES,Intel Core i7-9750H,229,16 GB,512GB SSD,"15.6""",RTX 2060
999.0,Apple MacBook Air,Intel Core i5,"[[950, 'Intel Core i7-975'], [997, 'Intel Core i7-965']]",8 GB,128GB SSD,"13.3"" Gris Espacial",
279.0,Toshiba Satellite Pro R50-C-1E8,Intel Celeron 3855U,1704,4 GB,128GB SSD,"15.6"" W10 Pro",
1199.0,Asus TUF Gaming FX505DV-AL014,AMD Ryzen 7 3750H,351,16 GB,512GB SSD,"15.6""",RTX 2060
599.0,HP Notebook 14S-DQ1006NS,Intel Core i7-1065G7,312,8 GB,512GB SSD,"14""",
248.99,HP Notebook 15-DA0250NS,Intel Celeron N4000,1531,4 GB,128GB SSD,"15.6""",
269.0,Lenovo V145-15AST,AMD A4-9125,"[[1634, 'AMD A4-9120'], [1447, 'AMD A4-1250']]",8 GB,256 GB SSD,"15.6""",
979.0,MSI GF65 Thin 9SEXR-237XES,Intel Core i5-9300H,376,16 GB,512GB SSD,"15.6""",RTX 2060
649.0,MSI Modern 14 A10M-812XES,Intel Core I5-10210U,"[[513, 'Intel Core i5-10210U'], [735, 'Intel Core i5-10210Y']]",8 GB,512GB SSD,"14""",
1099.99,Asus Rog Strix G531GT-BQ165T,Intel Core i7-9750H,229,16 GB,512GB SSD,"15.6""",GTX1650
